EXPIRES AT           GROUP     SIZE  PATH
2023-03-19 12:34:37  ek9       5.0G  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm2/576/plt/Turb_hdf5_plt_cnt_0330
2023-03-19 12:34:38  ek9      79.8M  /scratch/ek9/nk7952/test_sim/sub_sonic/Turb_hdf5_plt_cnt_0506
2023-03-19 12:34:40  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpmgtfnn4b/tex.cache/cbfd40f0efbfa0e8387042182279e8e4.dvi
2023-03-19 12:34:41  ek9      52.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/144/spect/Turb_hdf5_plt_cnt_0875_spect_mags.dat
2023-03-19 12:34:45  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpzjmx4wbx/tex.cache/73c783807f8bcfbc2b698318bf4a58b6.png
2023-03-19 12:34:49  ek9      52.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/144/spect/Turb_hdf5_plt_cnt_0149_spect_mags.dat
2023-03-19 12:34:49  ek9       1.3M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm125/36/plt/Turb_hdf5_plt_cnt_0215
2023-03-19 12:34:52  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm10/72/plt/Turb_hdf5_plt_cnt_0382
2023-03-19 12:34:53  ek9     638.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm125/288/plt/Turb_hdf5_plt_cnt_0363
2023-03-19 12:34:55  ek9     100.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/288/spect/Turb_hdf5_plt_cnt_0384_spect_vels.dat
2023-03-19 12:35:00  ek9      10.0M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm250/72/plt/Turb_hdf5_plt_cnt_0591
2023-03-19 12:35:00  ek9       1.3M  /scratch/ek9/nk7952/Re500/super_sonic/Pm1/36/plt/Turb_hdf5_plt_cnt_0475
2023-03-19 12:35:00  ek9     204.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm1/18/plt/Turb_hdf5_plt_cnt_0111
2023-03-19 12:35:02  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm50/144/plt/Turb_hdf5_plt_cnt_0575
2023-03-19 12:35:02  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm25/72/plt/Turb_hdf5_plt_cnt_0734
2023-03-19 12:35:02  ek9      16.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm25/36/spect/Turb_hdf5_plt_cnt_0004_spect_mags.dat
2023-03-19 12:35:04  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm50/18/plt/Turb_hdf5_plt_cnt_0939
2023-03-19 12:35:04  ek9     638.0M  /scratch/ek9/nk7952/Re500/super_sonic/Pm1/288/plt/Turb_hdf5_plt_cnt_1268
2023-03-19 12:35:12  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm125/72/plt/Turb_hdf5_plt_cnt_0613
2023-03-19 12:35:16  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpmzrd87zl/tex.cache/428b3ed3a8d14f932e6fa77ff5fdd6ad.dvi
2023-03-19 12:35:17  ek9      10.0M  /scratch/ek9/nk7952/Re500/super_sonic/Pm4/72/plt/Turb_hdf5_plt_cnt_0698
2023-03-19 12:35:21  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpv147t__j/tex.cache/58568e32d1e91e77a6861317394ea5a9.dvi
2023-03-19 12:35:22  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm125/144/plt/Turb_hdf5_plt_cnt_0028
2023-03-19 12:35:23  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp_nv5ue54/tex.cache/7fa127e80e5308b03a2ffa17f8cfda3a.png
2023-03-19 12:35:23  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm10/72/plt/Turb_hdf5_plt_cnt_0446
2023-03-19 12:35:26  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpmn6nepfy/tex.cache/009cd0b7f6d2e2815848fe40bec3908f.tex
2023-03-19 12:35:32  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpg9qss5lw/tex.cache/5919631a7704593689aee431f339e5cf.png
2023-03-19 12:35:32  ek9       4.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/144/job_sim.sh
